Title,Image_URL,Text
Каноничный батя,https://imgproxy.onliner.by/bMbBEa1S-lFDxNjqxjHNXvdhQ8vcZ54yhat3mAg6aZs/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi85ZTcw/NzhlNjU3MzRmMjVj/MzgzMWI3YWM3OGQ5/MGU2NC5qcGVn.jpg,Главные сериалы с российскими комиками
Специальное предложение!,https://imgproxy.onliner.by/NfpQNZFuW5xmxJcs-ZLhgTV5uZKgwS0Pzn2VO0_zW2g/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi85M2Yw/NGVmN2EyNDNjMDkw/OTE0YzFkOWFkMTdj/Y2Q3NS5qcGVn.jpg,для пользователей Барахолки!
Handmade изделия на Барахолке!,https://imgproxy.onliner.by/l21jNYJi6BJVlkczyXqSqlLK2K5bjEwR3k2dBl2d1SQ/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi9lNTE3/OGI3ZGYzMGMzNzE1/MzczMzk0MmVmYThl/OGEzZi5qcGVn.jpg,""
Мужские часы,https://imgproxy.onliner.by/ZDMzBQ200LJ68fxt294OmLjopmPY-JHVH6TUsQSSA00/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi84M2I5/NTllM2YzZTYyNTJm/ZDYxNmZkNzZjZjFl/ODM0Yi5qcGVn.jpg,Много дешевых вариантов!
Детские игрушки,https://imgproxy.onliner.by/Z676wOUDQo3MDgPxVFHICc248uVdD46SVh_BXJfvzXY/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi82ZWI4/NzMwODU2YTBiYzRk/M2NjZjAxYTU3ZjYz/MjJhMi5qcGVn.jpg,""
Работа и вакансии,https://imgproxy.onliner.by/6LwCNnMu64yaTu7rSkWzArgZLUy_4zM5NQPC9o2cGGU/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi9jZWI4/OWQ1YzZhNzJmZTdk/NzNlY2E0N2FiZDFh/ODJmYS5qcGVn.jpg,""
Hi-Fi и винил на Барахолке,https://imgproxy.onliner.by/QnTOdaBsQct1Xq-W1jh87oLfwUZUQ8GQa1eFrik56KM/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi9kN2Yw/ZmRjMTcyZDZiY2Vk/MDAzZmVkZWNjMjBi/ZGUxYi5qcGVn.jpg,""
Оклейка обоями. Качество!,https://imgproxy.onliner.by/crbdjbe4IkbZrWj5CnZEKhRxeaMTtzA25V9t7hpBQL0/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi9hYmYx/NTExMmMzYjg1ZWE3/YTQ1MmVjMjE4NzFj/YjY1MC5qcGVn.jpg,Большой опыт работы!
Доставка товаров из Польши,https://imgproxy.onliner.by/IFFLKPhZMvn4QdryoRIy_zAbOOGvV_OG-53Keb_LRro/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi9lMDcy/NTYyYzViNDI2MmJj/MGFlZDNkNzk5ZmQy/ZGRjZi5qcGVn.jpg,"Ikea, Allegro, Ceneo, Olx и другие"
Ремонт и отделка квартир в Минске,https://imgproxy.onliner.by/btv9tP4aTF5TEFxd9wdUWdrYQL0bBDIjt2JNcSRJzPs/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi8xZjhl/ZmNjYzdmYWI3YThh/Njc3ZTNjMzViYjQy/YjUzZS5qcGVn.jpg,Доставка и подъём материала бесплатно!
"Электрика, провод, кабель ГОСТ",https://imgproxy.onliner.by/HMisBVwoFhBorz-ttq5j22UWQ5xEObdledQH7iHLzTc/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi9iODNj/NjhhZjhhZjc5ODAx/ZWY2NzA4YzgwN2Y2/N2VjYy5qcGVn.jpg,И многое другое!
"Песок, ПГС, гравий, щебень, асфальтная крошка",https://imgproxy.onliner.by/4MtIUu7VU662dWeOo0Jtrs4bgGjNqQDzkU_dSTJbgIA/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi9lYTJh/NTQ1MWE3NWJmNzkx/NzdhYWEyOWQ1OTIz/MDU5Ni5qcGVn.jpg,А также вывоз мусора!
Планшеты и эл.книги Б/У с гарантией!,https://imgproxy.onliner.by/tvWs5GffcpCCTXP6J_k_GN6gDj-3bPm8IPZCfL_q42A/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi84NWNm/ZjJiZTkzYTEzZGU3/NDI4MTdjNzcxNjJm/OWRmOS5qcGVn.jpg,"Рассрочка, доставка!"
Apple iPhone 13 12 11 Pro Max Mini 64 128 256 512 SE XR,https://imgproxy.onliner.by/wzPH85K-7yw8MugilS3srtFFPynifMh6IfO2xB4863I/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi8yYmM1/ODE4ZmEzMDVhMzg5/OWMwMDkyN2Y1NWM3/ODNjMC5qcGVn.jpg,"Гарантия лучшей, честной цены!"
"Натяжные потолки, 2-ой и 3-ий потолок в подарок!",https://imgproxy.onliner.by/kyq64C5LI4rOM_hxMGpOctQkkpOk-EDPwlVylTobF4I/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi85OGM2/NmFkMTI2MzRmYmIy/YWQ5ZWJiNWZmMWNh/YTZiMi5qcGVn.jpg,Светильники и карниз ПВХ в подарок!
Выкупим ваш ПК,https://imgproxy.onliner.by/gahEhDnF12CDhkvA8XfPfQzc9AsPj3_k85mc9OuVfJ4/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi80Nzhl/MmQzMjdlZWJlZTM4/NjM2NmM2MzA0ZjNj/ZTRlZC5qcGVn.jpg,"Быстро, деньги на месте!"
Штукатурные работы!,https://imgproxy.onliner.by/eIB18rgTOmDYJS6ioi1vv9w0EGb56Gg3Jn8gc0jNVPE/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi81OThh/NmY5NTQ0ZDliOTA5/NTk4M2VmMWJkYTkz/ZTYxMy5qcGVn.jpg,Механизированная и ручная штукатурка
Ремонт квартир!,https://imgproxy.onliner.by/iUpMyeUaZZU0CPhCEkcjO5ZXOmOFXeS0wkPh_ko4-gc/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi9mNTk4/ZDFmMTQ5OGQwYjU0/ZWU5M2I0NTBhOTk1/NjBlNC5qcGVn.jpg,"Любой сложности, ""под ключ""."
Оклейка обоями,https://imgproxy.onliner.by/9FTKhNTTpnlCzzneU_ExlHveSrPuN6xgoR9OGWcoNmA/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi84MGNk/OWM2YTFhNjM2MmRl/MzdmMDJmOGExN2Rl/Y2U5Ny5qcGVn.jpg,Все расходные материалы за наш счёт!
"Компьютеры Б/У для офиса, мультимедиа и игр.",https://imgproxy.onliner.by/Xx2A0v8trx9m_MBj7oOanOkYpEVd_PzrCxgd7nPkh6c/rt:fill/s:748:610/aHR0cHM6Ly9jb250/ZW50Lm9ubGluZXIu/Ynkvd2lkZ2V0L3Rp/bGVzLzF4Mi9hZDRk/NTNhMDdiMGIzNTkx/Mzg0MjM1NGRkNTQ4/Y2VmZi5qcGVn.jpg,Гарантия!
